"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6430","Reseller is able to withdraw Wallet Credits for user","","Mon Aug 26 13:32:07 EEST 2024","passed","Mon Aug 26 13:32:14 EEST 2024","","Tests for Reseller role","Tests for Reseller role","Reseller is able to withdraw Wallet Credits for user"
"","3893","Reseller is able to login with valid credential","","Mon Aug 26 13:31:07 EEST 2024","passed","Mon Aug 26 13:31:11 EEST 2024","","Tests for Reseller role","Tests for Reseller role","Reseller is able to login with valid credential"
"","7552","User is able to change password","","Mon Aug 26 13:31:54 EEST 2024","passed","Mon Aug 26 13:32:01 EEST 2024","","Tests for Reseller role","Tests for Reseller role","User is able to change password"
"","9324","Reseller is able to create reseller","","Mon Aug 26 13:31:11 EEST 2024","passed","Mon Aug 26 13:31:20 EEST 2024","","Tests for Reseller role","Tests for Reseller role","Reseller is able to create reseller"
"","6118","Reseller is able to deposit Wallet Credits for user","","Mon Aug 26 13:32:01 EEST 2024","passed","Mon Aug 26 13:32:07 EEST 2024","","Tests for Reseller role","Tests for Reseller role","Reseller is able to deposit Wallet Credits for user"
"","11179","Reseller is able to create Agent","","Mon Aug 26 13:31:20 EEST 2024","passed","Mon Aug 26 13:31:31 EEST 2024","","Tests for Reseller role","Tests for Reseller role","Reseller is able to create Agent"
"","7622","Reseller is able to change user password","","Mon Aug 26 13:31:38 EEST 2024","passed","Mon Aug 26 13:31:45 EEST 2024","","Tests for Reseller role","Tests for Reseller role","Reseller is able to change user password"
"","6225","Reseller is able to Edit user","","Mon Aug 26 13:31:31 EEST 2024","passed","Mon Aug 26 13:31:38 EEST 2024","","Tests for Reseller role","Tests for Reseller role","Reseller is able to Edit user"
"","8458","Reseller is able to create sub-account with no permission","","Mon Aug 26 13:31:45 EEST 2024","passed","Mon Aug 26 13:31:54 EEST 2024","","Tests for Reseller role","Tests for Reseller role","Reseller is able to create sub-account with no permission"
"","3724","Suspended reseller is not able to add new user","","Mon Aug 26 13:32:14 EEST 2024","passed","Mon Aug 26 13:32:18 EEST 2024","","Tests for Reseller role","Tests for Reseller role","Suspended reseller is not able to add new user"
